Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4
Accent Paving,TP,TP,TP,TP,TP
Barrier Post,FP,FP,FP,FP,FP
Barrier Stump,TN,TN,TN,TN,TN
Bench,TP,TP,TP,TP,TP
Bicycle,TN,TN,TN,TN,TN
Bridge,TN,TN,TN,TN,TN
Building,TP,TP,TP,TP,TP
Bus,TN,TN,TN,TN,TN
Bus Stop,TN,TN,TN,TN,TN
Car,TN,TN,TN,TN,TN
Chair,FP,FP,FP,FP,TN
Closed Sidewalk,FP,FP,FP,FP,FP
Counter,TN,TN,TN,TN,FP
Crosswalk,FN,FN,FN,FN,FN
Curb,TP,TP,TP,TP,TP
Dog,TN,TN,TN,TN,TN
Driveway(flat),TN,TN,TN,TN,TN
Elevator,TN,TN,TN,TN,TN
Escalator,TN,TN,TN,TN,TN
Fence,FP,FP,FP,FP,FP
Fire hydrant,FP,TN,TN,TN,TN
Flush Door,FP,FP,FP,FP,FP
Foldout Sign,FP,FP,FP,FP,FP
Fountain,TN,TN,TN,TN,TN
Gate,FP,FP,FP,FP,FP
Guide dog,TN,TN,TN,TN,TN
Gutter,FP,FP,FP,FP,FP
Hose,TN,TN,TN,TN,TN
Lamp Post,TP,TP,TP,TP,TP
Mail box,FP,TN,FP,FP,FP
Maintenance Vehicle,TN,TN,TN,TN,TN
Motorcycle,TN,TN,TN,TN,TN
Parallel Parking Spot,TN,FP,TN,FP,FP
Paratransit vehicle,TN,TN,TN,TN,TN
Pedestrian Crossing,FP,TN,TN,TN,TN
Person,TP,TP,TP,TP,TP
Person with a disability,FN,0,0,TP,FN
Pillar,FP,FP,FP,FP,FP
Pole,TP,TP,TP,TP,TP
Puddle,TN,TN,TN,TN,TN
Push button,FP,FP,TN,FP,TN
Railing,TP,TP,TP,TP,TP
Raised Entryway,TP,TP,TP,TP,TP
Retaining Wall,TN,TN,TN,TN,TN
Road,TP,TP,TP,TP,TP
Road Divider,FP,FP,FP,FP,FP
Road Shoulder,FP,FP,FP,FP,FP
Roadside Parking,TN,TN,TN,TN,TN
Sidewalk,TP,TP,TP,TP,TP
Sidewalk pits,FP,FP,FP,FP,FP
Sign,FP,FP,FP,FP,FP
Sign Post,FP,FP,FP,FP,FP
Sloped Driveway,TN,TN,TN,TN,TN
Slopped Curb,FP,FP,FP,FP,FP
Snow,TN,TN,TN,TN,TN
Stairs,FP,FP,FP,FP,FP
Stop sign,TN,TN,TN,TN,TN
Street Vendor,TN,TN,TN,TN,TN
Table,TN,TN,TN,TN,FP
Tactile Paving,FP,FP,FP,FP,FP
Traffic Signals,FN,FN,FN,FN,FN
Train Platform,TN,TN,TN,TN,TN
Train Tracks,TN,TN,TN,TN,TN
Trash bins,TN,TN,TN,TN,TN
Trash on roads,TN,TN,TN,TN,TN
Tree,1,1,1,1,1
Turnstile,TN,TN,TN,TN,TN
Uncontrolled Crossing,TN,TN,TN,TN,TN
Uneven Stairs,FP,TN,TN,FP,TN
Unpaved Road,FP,FP,FP,FP,FP
Unpaved Sidewalk,FP,FP,FP,FP,FP
Vegetation,TP,TP,TP,TP,TP
Wall,TP,TP,TP,TP,TP
Water leakage,TN,TN,TN,TN,TN
Water Pipes,TN,TN,TN,TN,TN
Wet surface,TN,TN,TN,TN,TN
Wheelchair,TN,TN,TN,TN,TN
White Cane,TP,TN,TN,TP,FN
Yard Waste,TN,TN,TN,TN,TN
